2018,DATE,LUNCH,DINNER,SATCH Z,LSE DAY,lse night,LSE,TOTAL,Notes or Cater,,,,
Wednesday,8/8/2018,2501,2907,5409,302,,1592,7001,,,,,
Thursday,8/9/2018,2276,4378,6654,370,,1697,8351,,,,,
Friday,8/10/2018,2995,5631,8626,711,,2648,11274,UF Summer,,,,
Saturday,8/11/2018,5046,5750,10796,1472,,2957,13753,Grad,,,,
total,,,,,,,10065,47619,,,,,
LSE%,,,,,,,21%,,,,,,
Tuesday,7/31/2018,2031,3719,5750,177,,1093,6843,,,,,
Wednesday,8/1/2018,2381,3204,5585,287,,1205,6790,,,,,
Thursday,8/2/2018,2771,3458,6229,332,,1051,7280,700 CCL Cater paid night,,,,
Friday,8/3/2018,2778,5256,8034,550,,3433,11467,,,,,
Saturday,8/4/2018,3210,5106,8316,358,,1568,9885,,,,,
total,,,,,,,8350,42265,,,,,
LSE%,,,,,,,20%,,,,,,
Tuesday,7/24/2018,1903,2632,4536,340,,809,5345,,,,,
Wednesday,7/25/2018,2359,2877,5236,272,,1452,6689,,,,,
Thursday,7/26/2018,2231,3455,5686,330,,1292,6978,900 day cater not on Z,,,,
Friday,7/27/2018,2813,5452,8265,857,,3406,11671,,,,,
Saturday,7/28/2018,3320,5900,9220,905,,3360,12580,,,,,
total,,,,,,,10319,43263,,,,,
LSE%,,,,,,,24%,,,,,,
Tuesday,7/17/2018,1864,2784,4648,533,,1515,6164,,,,,
Wednesday,7/18/2018,1782,3372,5155,320,,1143,6298,,,,,
Thursday,7/19/2018,1730,3399,5130,353,,2218,7348,,,,,
Friday,7/20/2018,2339,5463,7802,534,,1745,9548,,,,,
Saturday,7/21/2018,4687,5612,10299,1298,,2942,13241,990 day cater cashed out,,,,
total,,,,,,,9563,42599,,,,,
LSE%,,,,,,,22%,,,,,,
Tuesday,7/10/2018,1847,2739,4587,???,,1480,6067,,,,,
Wednesday,7/11/2018,1301,3549,4850,176,,1676,6526,,,,,
Thursday,7/12/2018,2054,4250,6259,297,,1958,8218,,,,,
Friday,7/13/2018,2599,5470,8069,691,,3042,11111,440 night cater cashed out,,,,
Saturday,7/14/2018,4013,5764,9777,1068,,3771,13549,,,,,
total,,,,,,,11972,45471,,,,,
LSE%,,,,,,,26%,,,,,,
Tuesday,7/3/2018,2067,3892,5959,259,,1425,7385,,,,,
Wednesday,7/4/2018,1936,2717,4653,96,,424,5078,,,,,
Thursday,7/5/2018,2245,2792,5037,260,,592,5630,,,,,
Friday,7/6/2018,3204,4953,8157,700,,2622,10780,,,,,
Saturday,7/7/2018,3340,6116,9456,626,,2387,11844,,,,,
total,,,,,,,7450,40719,,,,,
LSE%,,,,,,,18%,,,,,,
Tuesday,6/26/2018,1860,3089,4949,313,,1446,6395,,,,,
Wednesday,6/27/2018,1846,2482,4329,418,,1465,5795,,,,,
Thursday,6/28/2018,2680,2976,5656,446,,1602,7258,,,,,
Friday,6/29/2018,2995,6367,9362,482,,2234,11596,,,,,
Saturday,6/30/2018,4577,5011,9588,871,,2289,11877,CCL pick up $900 on day Z,,,,
total,,,,,,,9037,42923,,,,,
LSE%,,,,,,,21%,,,,,,
Tuesday,6/19/2018,1778,2943,4721,471,,1419,6140,,,,,
Wednesday,6/20/2018,2378,2944,5322,? no day Z,,1249,6571,to non Z caters 462day/437nite,,,,
Thursday,6/21/2018,1657,2793,4450,158,,1753,6203,day cater 360 non Z,,,,
Friday,6/22/2018,2549,5347,7896,478,,2075,9971,,,,,
Saturday,6/23/2018,3561,5786,9346,779,,3078,12425,,,,,
total,,,,,,,9574,41310,,,,,
LSE%,,,,,,,23%,,,,,,
Tuesday,6/12/2018,1719,3601,5320,134,,949,6270,2 UF cater nite = 1000 not on Z,,,,
Wednesday,6/13/2018,2505,2966,5471,354,,2256,7728,Trivia LSE nite,,,,
Thursday,6/14/2018,2297,3176,5473,339,,1980,7453,,,,,
Friday,6/15/2018,2443,5557,8001,497,,2354,10355,,,,,
Saturday,6/16/2018,3642,5253,8895,856,,3139,12034,,,,,
total,,,,,,,10678,43840,,,,,
LSE%,,,,,,,24%,,,,,,
Tuesday,6/5/2018,2307,3315,5622,374,,1293,6915,,,,,
Wednesday,6/6/2018,1925,3221,5146,426,,1151,6297,,,,,
Thursday,6/7/2018,2299,3159,5458,400,,1648,7106,,,,,
Friday,6/8/2018,3385,4934,8319,617,,2688,11007,450 in catering cashed out - NBA finals,,,,
Saturday,6/9/2018,3990,6379,10369,725,,3003,13372,,,,,
total,,,,,,,9783,44697,,,,,
LSE%,,,,,,,22%,,,,,,
Tuesday,5/29/2018,1577,2675,4252,575,,774,5026,,,,,
Wednesday,5/30/2018,1245,3214,4460,120,,938,5398,,,,,
Thursday,5/31/2018,2216,3775,5991,375,,1756,7747,,,,,
Friday,6/1/2018,3097,5128,8225,1217,,3405,11631,Cater day 650 - UF not on Z/ Night- Nacho Libre,,,,
Saturday,6/2/2018,3807,5613,9420,1550,,4138,13559,,,,,
total,,,,,,,11011,43361,,,,,
LSE%,,,,,,,25%,,,,,,
Tuesday,5/22/2018,1067,2047,3114,,,1049,4164,,,,,
Wednesday,5/23/2018,2005,2979,4983,,,1519,6502,,,,,
Thursday,5/24/2018,1669,3234,4904,,,985,5889,,,,,
Friday,5/25/2018,2266,5286,7552,,,2576,10129,,,,,
Saturday,5/26/2018,3715,5589,9305,396,,1702,11007,,,,,
total,,,,,,,7831,37691,,,,,
LSE%,,,,,,,21%,,,,,,
Tuesday,5/15/2018,1448,2623,4071,,,958,5029,rain,,,,
Wednesday,5/16/2018,1826,3363,5189,,,1460,6649,rain,,,,
Thursday,5/17/2018,1886,3139,5025,,,1448,6473,rain & $750 cater day UF not on Z,,,,
Friday,5/18/2018,3552,4546,8098,,,2447,10546,rain & $750 cater day UF not on Z,,,,
Saturday,5/19/2018,3681,5392,9074,,,2519,11593,,,,,
total,,,,,,,8832,40291,,,,,
LSE%,,,,,,,22%,,,,,,
Tuesday,5/8/2018,1551,3287,4839,,,1604,6443,1200 LSE pay pal cater nite - not on Z,,,,
Wednesday,5/9/2018,2030,3610,5640,,,1937,7577,,,,,
Thursday,5/10/2018,2071,3141,5212,,,1520,6732,500 cater cashed out nite,,,,
Friday,5/11/2018,2277,4768,7045,,,2147,9192,,,,,
Saturday,5/12/2018,4090,5315,9405,,,1880,11286,,,,,
total,,,,,,,9088,41230,,,,,
LSE%,,,"Weekends: 1 cash 1 host, consider p4/expo combo",,,,22%,,,,,,
Tuesday,5/1/2018,2703,3657,6360,,,1567,7927,,,,,
Wednesday,5/2/2018,2392,3590,5983,,,1084,7067,,,,,
Thursday,5/3/2018,2537,4903,7440,,,1046,8486,,,,,
Friday,5/4/2018,3918,7670,11588,,,3941,15529,GRADUATION,,,,
Saturday,5/5/2018,5871,6241,12112,,,2072,14184,graDUATION,,,,
total,,,,,,,12361,53193,,,,,
LSE%,,,,,,,23%,,,,,,
Tuesday,4/24/2018,2587,2910,5497,,,1392,6889,,,,,
Wednesday,4/25/2018,2079,3160,5239,,,1614,6853,,,,,
Thursday,4/26/2018,1978,3367,5345,,,1299,6644,,,,,
Friday,4/27/2018,3050,6296,9346,,,1610,10956,,,,,
Saturday,4/28/2018,4720,6415,11135,,,3335,14470,,,,,
total,,,,,,,9250,45860,,,,,
LSE%,,,,,,,20%,,,,,,
Tuesday,4/17/2018,1462,2954,4416,,,1048,5464,$580 cater paypal - not on Z- day,,,,
Wednesday,4/18/2018,2295,2863,5158,,,1192,6350,,,,,
Thursday,4/19/2018,2018,3935,5953,,,2468,8421,,,,,
Friday,4/20/2018,2816,6214,9030,,,3281,12311,$1500 cater day UF - 580 cater nite - not cashed out*,,,,
