DATE,SATCH-DAY,SATCH-NIGHT,SATCH-TOT,LSE-DAY,LSE-TOT,TOTAL,LSE-PERCENT,LSE-NIGHT
2018-06-28,2680.0,2976.0,5656,446.0,1602,7258,0.22072196197299532,1156.0
2018-06-29,2995.0,6367.0,9362,482.0,2234,11596,0.19265263884097966,1752.0
2018-06-30,4577.0,5011.0,9588,871.0,2289,11877,0.1927254357160899,1418.0
2018-06-19,1778.0,2943.0,4721,471.0,1419,6140,0.23110749185667753,948.0
2018-06-20,2378.0,2944.0,5322,,1249,6571,0.19007761375741897,
2018-06-21,1657.0,2793.0,4450,158.0,1753,6203,0.2826051910365952,1595.0
2018-06-22,2549.0,5347.0,7896,478.0,2075,9971,0.20810350015043627,1597.0
2018-06-23,3561.0,5786.0,9346,779.0,3078,12425,0.24772635814889335,2299.0
2018-06-12,1719.0,3601.0,5320,134.0,949,6270,0.15135566188197766,815.0
2018-06-13,2505.0,2966.0,5471,354.0,2256,7728,0.2919254658385093,1902.0
2018-06-14,2297.0,3176.0,5473,339.0,1980,7453,0.2656648329531732,1641.0
2018-06-15,2443.0,5557.0,8001,497.0,2354,10355,0.22732979237083534,1857.0
2018-06-16,3642.0,5253.0,8895,856.0,3139,12034,0.2608442745554263,2283.0
2018-06-05,2307.0,3315.0,5622,374.0,1293,6915,0.18698481561822125,919.0
2018-06-06,1925.0,3221.0,5146,426.0,1151,6297,0.18278545339050342,725.0
2018-06-07,2299.0,3159.0,5458,400.0,1648,7106,0.23191669012102448,1248.0
2018-06-08,3385.0,4934.0,8319,617.0,2688,11007,0.24420823112564732,2071.0
2018-06-09,3990.0,6379.0,10369,725.0,3003,13372,0.22457373616512114,2278.0
2018-05-29,1577.0,2675.0,4252,575.0,774,5026,0.1539992041384799,199.0
2018-05-30,1245.0,3214.0,4460,120.0,938,5398,0.17376806224527602,818.0
2018-05-31,2216.0,3775.0,5991,375.0,1756,7747,0.22666838776300505,1381.0
2018-06-01,3097.0,5128.0,8225,1217.0,3405,11631,0.29275212793396954,2188.0
2018-06-02,3807.0,5613.0,9420,1550.0,4138,13559,0.30518474813776825,2588.0
2018-05-22,1067.0,2047.0,3114,,1049,4164,0.25192122958693564,
2018-05-23,2005.0,2979.0,4983,,1519,6502,0.2336204244847739,
2018-05-24,1669.0,3234.0,4904,,985,5889,0.1672609950755646,
2018-05-25,2266.0,5286.0,7552,,2576,10129,0.2543192812715964,
2018-05-26,3715.0,5589.0,9305,396.0,1702,11007,0.15462887253565913,1306.0
2018-05-15,1448.0,2623.0,4071,,958,5029,0.19049512825611453,
2018-05-16,1826.0,3363.0,5189,,1460,6649,0.21958189201383665,
2018-05-17,1886.0,3139.0,5025,,1448,6473,0.2236984396724857,
2018-05-18,3552.0,4546.0,8098,,2447,10546,0.23203110183956002,
2018-05-19,3681.0,5392.0,9074,,2519,11593,0.21728629345294576,
2018-05-08,1551.0,3287.0,4839,,1604,6443,0.24895235138910446,
2018-05-09,2030.0,3610.0,5640,,1937,7577,0.25564207469974926,
2018-05-10,2071.0,3141.0,5212,,1520,6732,0.22578728461081402,
2018-05-11,2277.0,4768.0,7045,,2147,9192,0.2335726718885988,
2018-05-12,4090.0,5315.0,9405,,1880,11286,0.1665780613149034,
2018-05-01,2703.0,3657.0,6360,,1567,7927,0.19767881922543207,
2018-05-02,2392.0,3590.0,5983,,1084,7067,0.15338899108532617,
2018-05-03,2537.0,4903.0,7440,,1046,8486,0.12326184303558803,
2018-05-04,3918.0,7670.0,11588,,3941,15529,0.2537832442526885,
2018-05-05,5871.0,6241.0,12112,,2072,14184,0.1460800902425268,
2018-04-24,2587.0,2910.0,5497,,1392,6889,0.20206125707649877,
2018-04-25,2079.0,3160.0,5239,,1614,6853,0.23551729169706698,
2018-04-26,1978.0,3367.0,5345,,1299,6644,0.19551475015051173,
2018-04-27,3050.0,6296.0,9346,,1610,10956,0.14695144213216502,
2018-04-28,4720.0,6415.0,11135,,3335,14470,0.23047684865238424,
2018-04-17,1462.0,2954.0,4416,,1048,5464,0.191800878477306,
2018-04-18,2295.0,2863.0,5158,,1192,6350,0.18771653543307087,
2018-04-19,2018.0,3935.0,5953,,2468,8421,0.29307683173019833,
2018-04-20,2816.0,6214.0,9030,,3281,12311,0.2665096255381366,
2018-04-21,5217.0,6402.0,11619,,2762,14381,0.19205896669216327,
2018-04-10,1380.0,2217.0,3598,,1673,5271,0.31739707835325365,
2018-04-11,1649.0,3511.0,5160,,1700,6860,0.2478134110787172,
2018-04-12,2054.0,3009.0,5063,,900,5963,0.15093073956062383,
2018-04-13,2744.0,6267.0,9011,,3586,12597,0.28467095340160353,
2018-04-14,5241.0,7013.0,12254,,5030,17284,0.29102059708400835,
2018-04-03,1873.0,4032.0,5905,,1401,7306,0.19176019709827538,
2018-04-04,2093.0,3493.0,5585,,1538,7123,0.2159202583181244,
2018-04-05,1744.0,5172.0,6916,,2228,9144,0.2436570428696413,
2018-04-06,2727.0,6220.0,8947,,3333,12280,0.2714169381107492,
2018-04-07,5209.0,6006.0,11215,,3581,14796,0.24202487158691538,
2018-03-27,2635.0,3818.0,6453,,1134,7587,0.1494661921708185,
2018-03-28,2846.0,4322.0,7168,,2005,9173,0.21857625640466588,
2018-03-29,3266.0,3986.0,7252,,1651,8903,0.18544310906436032,
2018-03-30,4234.0,5885.0,10119,,4107,14227,0.28867646025163424,
2018-03-31,4766.0,7188.0,11954,,2363,14317,0.1650485436893204,
2018-03-20,1546.0,3291.0,4837,,1237,6074,0.20365492262100757,
2018-03-21,2535.0,3331.0,5866,,1496,7362,0.20320565063841348,
2018-03-22,2989.0,4624.0,7413,,2007,9420,0.21305732484076434,
2018-03-23,3099.0,6477.0,9576,,2932,12509,0.23439123830841793,
2018-03-24,4818.0,6699.0,11517,,3652,15169,0.24075416968817984,
2018-03-13,2461.0,5181.0,7642,,2286,9928,0.23025785656728445,
2018-03-14,1983.0,4469.0,6452,,1951,8404,0.23215135649690624,
2018-03-15,2490.0,4927.0,7417,,1512,8929,0.16933587187814986,
2018-03-16,3139.0,6904.0,10043,,2690,12734,0.2112454845296058,
2018-03-17,3667.0,6758.0,10425,,2302,12727,0.1808753044708101,
2018-03-06,1790.0,3014.0,4804,,1314,6118,0.21477607061131088,
2018-03-07,2052.0,3689.0,5741,,870,6611,0.13159885040084707,
2018-03-08,2427.0,3805.0,6232,,2228,8460,0.26335697399527186,
2018-03-09,3041.0,5218.0,8259,,2139,10398,0.20571263704558568,
2018-03-10,3646.0,6602.0,10248,,2885,13133,0.2196756262849311,
2018-02-27,1820.0,3035.0,4855,,1675,6530,0.2565084226646248,
2018-02-28,1522.0,3182.0,4704,,1988,6693,0.2970267443597789,
2018-03-01,1807.0,3827.0,5634,,1194,6828,0.17486818980667837,
2018-03-02,2111.0,6036.0,8147,,2620,10767,0.2433361196247794,
2018-03-03,5062.0,5681.0,10743,,3044,13787,0.2207876985566113,
2018-02-20,1679.0,3078.0,4757,,1097,5854,0.18739323539460198,
2018-02-21,1954.0,3473.0,5427,,1612,7038,0.2290423415743109,
2018-02-22,2131.0,2612.0,4743,,1094,5837,0.1874250471132431,
2018-02-23,2535.0,6556.0,9092,,3528,12620,0.27955625990491284,
2018-02-24,4129.0,6592.0,10721,,3485,14206,0.2453188793467549,
2018-02-13,1481.0,2726.0,4207,,491,4698,0.10451255853554704,
2018-02-14,3063.0,4947.0,8010,,1793,9803,0.1829031929001326,
2018-02-15,1710.0,3697.0,5407,,1708,7115,0.24005621925509488,
2018-02-16,2985.0,5545.0,8530,,2465,10995,0.22419281491587084,
2018-02-17,5566.0,7558.0,13124,,4098,17222,0.23795145743816049,
2018-02-06,1632.0,2086.0,3718,,1063,4781,0.22233842292407446,
2018-02-07,1685.0,2768.0,4453,,1042,5496,0.1895924308588064,
2018-02-08,1551.0,2663.0,4214,,809,5023,0.16105912801114872,
2018-02-09,2767.0,6862.0,9629,,2332,11961,0.19496697600535073,
2018-02-10,4576.0,6167.0,10744,,3314,14058,0.23573765827286955,
2018-01-30,1552.0,2049.0,3601,,599,4200,0.14261904761904762,
2018-01-31,1307.0,2759.0,4068,,608,4676,0.1300256629597947,
2018-02-01,1455.0,3321.0,4776,,848,5624,0.1507823613086771,
2018-02-02,2532.0,5577.0,8111,,2034,10145,0.20049285362247413,
2018-02-03,5324.0,6290.0,11614,,4037,15652,0.25792231024789164,
2018-01-23,1783.0,2133.0,3917,,774,4691,0.16499680238755063,
2018-01-24,1950.0,2450.0,4401,,599,5001,0.11977604479104179,
2018-01-25,1937.0,3114.0,5052,,911,5964,0.1527498323272971,
2018-01-26,2803.0,5282.0,8086,,1744,9830,0.17741607324516787,
2018-01-27,4862.0,6044.0,10907,,4411,15318,0.28796187491839664,
2018-01-16,1731.0,2530.0,4262,,1306,5569,0.2345124797988867,
2018-01-17,1491.0,1966.0,3458,,446,3905,0.11421254801536491,
2018-01-18,1801.0,2452.0,4254,,1138,5393,0.21101427776747636,
2018-01-19,2323.0,5309.0,7632,,1514,9146,0.1655368467089438,
2018-01-20,4574.0,5901.0,10476,,2432,12909,0.18839569292741498,
2018-01-09,1154.0,2221.0,3376,,415,3791,0.10946979688736481,
2018-01-10,1305.0,2121.0,3426,,662,4089,0.16189777451699683,
2018-01-11,2193.0,3092.0,5285,,516,5802,0.0889348500517063,
2018-01-12,1853.0,6248.0,8102,,1746,9849,0.17727688090161436,
2018-01-13,4430.0,5734.0,10164,,3108,13272,0.23417721518987342,
2018-01-02,2186.0,2936.0,5123,,1417,6540,0.21666666666666667,
2018-01-03,1147.0,2584.0,3732,,570,4302,0.13249651324965134,
2018-01-04,1780.0,2125.0,3905,,677,4583,0.1477198341697578,
2018-01-05,,,7170,,1627,8797,0.18494941457314995,
2018-01-06,3860.0,4908.0,8768,,2422,11191,0.21642391207220088,
