DATE,LUNCH,DINNER,SATCH Z,LSE D,LSE N,LSE TOT,TOTAL,352,
5/11/2021,1376,2412,3788,674,1169,1843,5632,208.92,
5/12/2021,2075,2013,4088,981,1363,2344,6431.42,128.4,
5/13/2021,1530,3062,4592,865,1725,2590,7181.84,460.65,
5/14/2021,2590,4790,7380,1110,3232,4342,11722.05,648.44,
5/15/2021,3058,5117,8175,1833,3267,5100,13275.01,398.06,
,,,,,,16219,44242.32,1844.47,
,,,,,,37%,,,
5/4/2021,1642,2450,4092,716,1725,2441,6533.7,321.01,
5/5/2021,1465,2101,3567,920,1413,2333,5900.79,276.61,
5/6/2021,1956,2291,4247,796,2411,3207,7454.41,215.09,
5/7/2021,2457,5465,7922,1973,3564,5537,13459.76,646.83,
5/8/2021,3246,4205,7452,1390,3642,5032,12484.08,285.17,
,,,,,,18550,45832.74,1744.71,
,,,,,,40%,,,
4/27/2021,2022,2812,4834,966,2116,3083,7916.69,104.59,
4/28/2021,1855,3476,5331,776,2269,3045,8376.52,530.2,
4/29/2021,2131,3937,6068,988,2748,3736,9803.84,207.59,
4/30/2021,2623,5182,7805,1653,4536,6189,13994.92,562.84,
5/1/2021,4458,5504,9963,2630,4269,6899,16862.44,288.91,
,,,,,,22952,56954.41,1694.13,
,,,,,,40%,,,
4/20/2021,1825,2739,4565,646,1592,2239,6804.41,275,
4/21/2021,1968,2443,4411,924,1215,2139,6550.76,291.05,
4/22/2021,2178,2677,4855,1223,1903,3127,7982,541.45,
4/23/2021,2325,4645,6969,1437,3485,4923,11893.28,742.6,
4/24/2021,3708,5115,8823,2359,3529,5888,14711.02,494.9,
,,,,,,18316,47941.47,2345,
,,,,,,38%,,,
4/13/2021,1254,2212,3466,849,772,1621,5086.63,469.75,
4/14/2021,1742,2192,3933,812,1378,2191,6124.49,317.27,
4/15/2021,1226,2813,4039,1008,1577,2586,6624.9,405.28,
4/16/2021,2090,3959,6049,1166,3401,4567,10616.84,615.81,
4/17/2021,3760,5024,8784,2139,3899,6039,14823.07,449.41,
