DATE,DAY,NIGHT,SATCH Z,LSE D,LSE N,LSE TOT,TOTAL,,,,,,,,,,,,,,,,
8/16/2022,2891,6143,9034,1354,4696,6320,15354,,,,,,,,,,,,,,,,
9/17/2022,5390,4535,9925,3285,1997,5283,15208,,,,,,,,,,,,,,,,
,,,,,,20221,55940,,,,,,,,,,,,,,,,
,,,,,,36%,,,,,,,,,,,,,,,,,
9/6/2022,1938,2565,4503,742,1565,2307,6811,,,,,,,,,,,,,,,,
9/7/2022,1675,2701,4377,888,2012,2900,7277,,,,,,,,,,,,,,,,
9/8/2022,1666,2800,4466,824,1170,1994,6460,RAIN,,,,,,,,,,,,,,,
9/9/2022,2856,6369,9226,2569,4910,7479,16705,2nd busiest  LSE,,,,,,,,,,,,,,,
9/10/2022,5040,4256,9296,3150,1467,4617,13913,,,,,,,,,,,,,,,,
,,,,,,19297,51166,,,,,,,,,,,,,,,,
,,,,,,38%,,,,,,,,,,,,,,,,,
8/30/2022,1899,2749,4648,853,930,1783,6431,,,,,,,,,,,,,,,,
8/31/2022,2361,2324,4685,942,1262,2204,6889,,,,,,,,,,,,,,,,
9/1/2022,3128,3967,7095,751,1723,2474,9569,,,,,,,,,,,,,,,,
9/2/2022,3706,5802,9507,1681,5424,7105,16613,,,,,,,,,,,,,,,,
9/3/2022,5396,4164,9560,2939,2352,5291,14851,,,,,,,,,,,,,,,,
,,,,,,18857,54353,,,,,,,,,,,,,,,,
,,,,,,35%,,,,,,,,,,,,,,,,,
8/23/2022,2524,3720,6244,837,1774,2610,8854,,,,,,,,,,,,,,,,
8/24/2022,2416,3215,5631,905,1876,2781,8413,,,,,,,,,,,,,,,,
8/25/2022,1883,3181,5064,829,1605,2435,7499,,,,,,,,,,,,,,,,
8/26/2022,2599,5018,7617,935,3825,4760,12377,,,,,,,,,,,,,,,,
8/27/2022,4300,6063,10364,2436,2609,5045,15409,,,,,,,,,,,,,,,,
,,,,,,17631,52552,,,,,,,,,,,,,,,,
,,,,,,34%,,,,,,,,,,,,,,,,,
8/16/2022,2736,3877,6613,727,2212,2939,9553,,,,,,,,,,,,,,,,
8/17/2022,3152,4729,7881,888,1988,2876,10757,,,,,,,,,,,,,,,,
8/18/2022,2945,5584,8529,1112,2846,3958,12487,,,,,,,,,,,,,,,,
8/19/2022,3746,6647,10393,1841,4796,6637,17031,,,,,,,,,,,,,,,,
8/20/2022,5596,6133,11729,2471,4568,7040,18769,,,,,,,,,,,,,,,,
,,,,,,23450,68597,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
8/9/2022,2307,3102,5408,1141,1332,2473,7881,,,,,,,,,,,,,,,,
8/10/2022,3589,3581,7170,1028,2427,3455,10626,,,,,,,,,,,,,,,,
8/11/2022,2259,3635,5894,784,2001,2785,8679,,,,,,,,,,,,,,,,
8/12/2022,2570,6014,8584,1549,3497,5047,13632,,,,,,,,,,,,,,,,
8/13/2022,4539,7040,11571,1767,2853,4620,16192,,,,,,,,,,,,,,,,
,,,,,,18380,57010,,,,,,,,,,,,,,,,
,,,,,,32%,,,,,,,,,,,,,,,,,
8/2/2022,2240,3754,5994,827,1926,2753,8747,,,,,,,,,,,,,,,,
8/3/2022,2811,3680,6491,1041,1705,2756,9236,,,,,,,,,,,,,,,,
8/4/2022,2652,4348,7000,1297,2699,3996,10996,,,,,,,,,,,,,,,,
8/5/2022,4504,6531,11036,1362,3324,4686,15722,,,,,,,,,,,,,,,,
8/6/2022,4407,6564,10971,1983,3475,5459,16430,,,,,,,,,,,,,,,,
,,,,,,19650,61131,,,,,,,,,,,,,,,,
,,,,,,32%,,,,,,,,,,,,,,,,,
7/26/2022,2543,3522,6065,1219,1381,2600,8665,,,,,,,,,,,,,,,,
7/27/2022,2340,3687,6027,1342,1125,2468,8495,,,,,,,,,,,,,,,,
