DATE,DAY,NIGHT,SATCH Z,LSE D,LSE N,LSE TOT,TOTAL
1/11/2023,1723,3117,4840,1010,1626,2636,7476
1/12/2023,2550,3366,5917,1153,2878,4031,10464
1/13/2023,4221,6336,10558,1665,4676,6341,16899
1/14/2023,4873,5556,10429,3016,3862,6879,17307
,,,,,,23455,61320
,,,,,,,
1/3/2023,1784,3348,5132,1131,1339,2470,7602
1/4/2023,2352,2672,5024,864,1920,2784,7807
1/5/2023,2523,4391,6914,863,1725,2588,9502
1/6/2023,2693,5388,8081,1407,3634,5041,13122
1/7/2023,4460,6965,11425,2459,4137,6596,18021
,,,,,,19479,56054
,,,,,,35%,
