DATE,LUNCH,DINNER,SATCH Z,LSE day,LSE TOTAL,TOTAL,352,352 + TOTAL,BYPPO,LOLO,Paypal-gross
8/13/2020,1926,1256,2612,854,2668,5280.68,355.81,1549.43 (added to total)  with Jazy Z added,,,
8/14/2020,1143,2539,4918,532,3089,10565.41,410.9,626.44,,,
8/15/2020,2095,3720,6024,667,5899,11923.49,573.01,2044.64,,,
,,,,,15907,37725.41,2125.66,,,,
,,,,,42 % tot sales,74% 2019,,,,,
8/4/2020,1091,1809,2900,762,2078,4978.22,479.36,,,,
8/5/2020,1253,1517,2770,1093,2606,5376.1,181.64,no Jay Z,,,
8/6/2020,1273,1561,2834,1022,3238,6073,191.53,no Jay Z,,,
8/7/2020,1069,2401,3962,1260,5347,9309.07,297.74,668.48 (added to total),66.34,Cater 220.66,
8/8/2020,2668,2717,5385,2185,5471,11125.97,307.63,no Jay Z,31.03,,
,,,,,18740,36862.36,1457.9,,,,
,,,,,51%totalsales,71%2019,,,,,
7/28/2020,1319,1498,2817,1047,3086,5903.33,345.62,0,,,
7/29/2020,1064,2130,3194,767,3002,6196.43,302.3,,,,
7/30/2020,943,1805,2748,1080,3832,6580.21,373.44,,,,
7/31/2020,1656,2800,4456,1116,5044,9500.72,351.51,,,,
8/1/2020,1899,2620,4519,1426,4952,9471.45,575.69,,,,
,,,,,,37652.14,1948.56,,,,
,,,,,,,,,,,
7/21/2020,1583,1535,3159,680,2649,5808.36,447.81,568.2,0,,
7/22/2020,1116,1072,2238,390,2410,4645.99,441.39,598.37,57.78,,
7/23/2020,1143,1520,2664,1050,2491,5154.98,299.61,243.65,0,,
7/24/2020,1079,3223,4422,984,4579,9001.76,727.1,851.67,0,,
7/25/2020,2586,3538,6124,1559,5078,11202.93,339.12,183.83,0,,
,,,,,17207,35814.02,2255.03,2445.72,,,
,,,,,,,,,,,
7/14/2020,870,1310,2216,694,2454,4670.98,379.33,345.77 (added to TOTAL),,,
7/15/2020,1155,1182,2337,914,2765,5101.87,151.68,347.34 (added to TOTAL),,,
7/16/2020,548,1606,2229,883,2477,4705.53,516.83,340.8 (added to TOTAL),,,
7/17/2020,1020,3083,4103,1329,4953,9056.01,668.23,39.59 (added to TOTAL),,,
7/18/2020,2154,3183,5424,1065,5238,10663.09,408.75,619.99 (added to TOTAL),,,
,,,,,16077,34196,2124.82,,,,
,,,,,,,,,,,
7/7/2020,984,2127,3111,951,2726,5837.55,300.69,,,,
7/8/2020,890,1160,2084,818,2955,5039.35,369.14,,,,
7/9/2020,820,1804,2624,1185,3378,6002,483.65,,,,
7/10/2020,1841,2626,4467,1089,5037,9504.33,738.87,,,,
7/11/2020,1875,3134,5009,1222,5301,10310.7,426.96,,,,
,,,,,18926,36693.93,2319.31,,,,
,,,,,,,,,,,
6/30/2020,1027,1187,2214,649,2220,4434,302.57,47 rung up as cash,32.21,,
7/1/2020,1210,1992,3202,732,2325,5527.41,191.53,0,0,,
7/2/2020,1098,2361,3459,810,3590,7049.97,499.71,0,0,,
7/3/2020,1112,2174,3566,975,4582,8148.29,227.5,0,0,,
7/4/2020,1475,1367,2900,762,3589,6489.78,0,0,0,,
,,,,,16306,31649.45,1221.31,,,,
,,,,,52% sales,,,,,,
6/23/2020,1326,2396,3722,734,2398,6120.37,436.03,0,0,,
6/24/2020,1258,1585,2843,740,2321,5164.62,298.54,0,0,,
6/25/2020,955,1992,2947,1279,1972,5919.58,139.64,0,97.97,,
6/26/2020,1393,2500,3893,556,4287,8180.86,615.81,0,33.17,,
6/27/2020,2111,3913,6025,2210,5486,11511.14,1067.9,0,95.96,,
,,,,,17465,36896.57,2557.92,,,,
,,,,,47% sales,79% 2019,,,,,
6/16/2020,1523,2822,4345,783,2545,6891,361.14,0,106.3,,
6/17/2020,1680,2258,3938,1149,2424,6362.79,227.38,51,0,,
6/18/2020,2349,2129,4478,965,2366,6844.57,174.41,0,0,,
6/19/2020,1659,4207,5866,1014,4401,10267.53,1083.95,0,0,,
6/20/2020,2548,2872,5420,1395,4802,10222.69,664.49,0,0,,
,,,,,16538,40588.58,2511.37,,,,
,,,,,,,,,,,
6/9/2020,2000,1981,3981,674,2033,6014.1,124.66,52.43,0,,
6/10/2020,1339,2105,3445,804,2311,5755.94,261.62,0,39.59,,
6/11/2020,1572,2088,4060,593,2168,6228.62,310.84,0,0,,
6/12/2020,1822,3705,5527,681,4186,9713.68,589.05,0,99.51,,
6/13/2020,2298,4280,7278,1757,4877,12155.01,464.39,0,0,,
,,,,,15575,39867.35,1750.56,,,,
,,,,,39%,95% of 2019,,,,,
